time,CE Model,CE & ET Model
1967.0,3.319798517278303,2.963092541925038
1967.5,3.3564192960839754,2.9906150459047156
1968.0,3.3936718712698446,3.0185864024700435
1968.5,3.431566299228886,3.047017571580029
1969.0,3.470112664486516,3.0759191762170217
1969.5,3.5093210953639993,3.1053015444615295
1970.0,3.5492017929465867,3.135174661557409
1970.5,3.5897650611743326,3.1655480979457704
1971.0,3.631023166092174,3.1964310656078943
1971.5,3.6729970034435557,3.2278325136824764
1972.0,3.7157163850393973,3.259761223871967
1972.5,3.7592178311649946,3.292225891470344
1973.0,3.803541809250893,3.325235057294388
1973.5,3.848730284178268,3.358796939425152
1974.0,3.8948248752874948,3.3929195004095822
1974.5,3.9418656391876925,3.427610584928985
1975.0,3.989890381802564,3.4628780548028413
1975.5,4.038934370080246,3.498729893866844
1976.0,4.0890303197682405,3.535174277308277
1976.5,4.140208556892551,3.5722195840693827
1977.0,4.192490790510287,3.609874369431872
1977.5,4.245884944430792,3.6481473533475763
1978.0,4.300386442075554,3.687047459122221
1978.5,4.355981775245535,3.726583952364863
1979.0,4.412652331648963,3.7667664637443146
1979.5,4.470377625197666,3.807604968433941
1980.0,4.529137675991481,3.8491097569995967
1980.5,4.58891456954227,3.8912914131435903
1981.0,4.649693344061781,3.9341608039746125
1981.5,4.711462377904589,3.977729083802843
1982.0,4.774213433595788,4.022007710936854
1982.5,4.837941484985153,4.06700838406004
1983.0,4.902644421895603,4.112743519110733
1983.5,4.968322697882274,4.159233236728651
1984.0,5.03497896586595,4.206505954548193
1984.5,5.102617729921457,4.254596437629783
1985.0,5.17124502893879,4.303543575590417
1985.5,5.240868159155572,4.353388197215061
1986.0,5.311495365051394,4.404171291532457
1986.5,5.383135372956558,4.455932778806058
1987.0,5.455797200841868,4.508710808671544
1987.5,5.529490096656091,4.562540441798918
1988.0,5.604223528108622,4.617453220364443
1988.5,5.680007187072031,4.673477443317344
1989.0,5.756850990204514,4.730638703640326
1989.5,5.834765070809332,4.788960475942095
1990.0,5.913759762324226,4.848459936500912
1990.5,5.993845575680556,4.909142382490222
1991.0,6.075033174263237,4.971002053813961
1991.5,6.1573333492322035,5.034024979909226
1992.0,6.24075728799315,5.098192240946279
1992.5,6.325316807919237,5.16348287051248
1993.0,6.411024304525689,5.229876060043001
1993.5,6.497892596095708,5.297352640208576
1994.0,6.585934751338082,5.3658959557626265
1994.5,6.67516395342598,5.435492277099261
1995.0,6.765593398519151,5.506130887092321
1995.5,6.857236224086227,5.577803958931739
1996.0,6.950105460672197,5.650506313447369
1996.5,7.0442140010962575,5.72423511919637
1997.0,7.139574581983885,5.798989576518184
1997.5,7.236199617018165,5.874770615287853
1998.0,7.334100978658996,5.951580596759047
1998.5,7.4332898691272025,6.029422764936139
1999.0,7.533776786127805,6.108301007271693
1999.5,7.635571552781658,6.188219761669147
2000.0,7.73868338052398,6.269183969572656
2000.5,7.843120941570373,6.351199058583362
2001.0,7.948892422256898,6.434270933806766
2001.5,8.05600558217594,6.518405966866994
2002.0,8.164467808671509,6.603610979042776
2002.5,8.274286162601134,6.68989326964103
2003.0,8.38546741614807,6.777260614773701
2003.5,8.498018086145178,6.865721242762807
2004.0,8.61194445991152,6.9552838224800375
2004.5,8.727252613501298,7.045957455913128
