variable,persistent pollution index,population,food per capita,industrial output,resources_total,persistent pollution index,population,food per capita,industrial output,resources_energy,resources_material
model,Base Model,Base Model,Base Model,Base Model,Base Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model,CE & ET Model
time,,,,,,,,,,,
1925.5,0.21766317757923173,1979584567.9345732,316.49261674748476,161277578936.19406,0.9884295942539857,0.1884522965735561,1903221028.8870485,299.3687827594313,127810322155.20044,0.9923778745072,0.9895269354838637
1926.0,0.22078305964774142,1988105031.6345048,317.7513099416352,164094041208.1633,0.9880868793987463,0.1900715613712203,1910317870.4290419,300.39500577903885,130043349402.43398,0.9921814125878284,0.9892492587961249
1926.5,0.22399100732969685,1996691393.1040394,319.02701528603984,166963811935.95883,0.9877381795611789,0.1917451541058643,1917544739.358249,301.44951219033953,132314835107.4024,0.9919810668882237,0.9889671398314173
1927.0,0.22728718957258096,2005345620.2763038,320.31987914573835,169887933644.67834,0.9873833814608151,0.19347371100548721,1924884148.5635376,302.5253126580158,134626044207.19026,0.9917767269326748,0.9886804969949305
1927.5,0.23067181083121469,2014069684.4119277,321.6300432541198,172867466245.08676,0.9870223696018201,0.19525800389417716,1932322766.7478259,303.61903679930856,136996938075.99158,0.9915682805147563,0.9883892425434649
1928.0,0.2341451140283609,2022865561.2554493,322.9576448277017,175903487492.57397,0.9866550262360493,0.19709896502595875,1939858129.049982,304.734176898359,139409730685.05746,0.9913555739308578,0.988093242112943
1928.5,0.2377073831978259,2031735232.1560097,324.30281664079524,178997093436.7485,0.9862812313251276,0.1989976974932058,1947481375.819505,305.86778138057554,141864329126.55453,0.9911384921717659,0.9877923958121567
1929.0,0.24135894582450562,2040687039.45761,325.6646730088695,182149398862.41705,0.9859008625015745,0.20095547417651846,1955185599.6147578,307.01819397759203,144361979246.93704,0.990916921290627,0.9874866118602608
1929.5,0.24510017489796931,2049724301.8027318,327.04326894554896,185361522134.5061,0.9855137950289918,0.20297373086607023,1962966001.357778,308.1847852302323,146903877719.12946,0.9906907455289117,0.9871757944310557
1930.0,0.24893149069753404,2058848904.6954303,328.4388412071968,188634600446.9713,0.9851199017944561,0.20505405368341767,1970819443.7252102,309.3674297745621,149491200246.75797,0.990459847393025,0.9868598445282748
1930.5,0.252853362327536,2068062802.0870643,329.8515574113739,191969793118.00778,0.9847190532685062,0.2071981622177622,1978744089.9647408,310.5662364329541,152125110562.5216,0.9902241076719088,0.9865386603957524
1931.0,0.256866309021782,2077368005.4290082,331.2815467630368,195368280910.54785,0.9843111174581305,0.2094078901535853,1986739112.4277146,311.7814102783824,154781499338.05835,0.9899817383691093,0.9862121391547607
1931.5,0.2609709012578102,2086766575.951077,332.72891564041646,198831265848.1555,0.9838959598611956,0.21168516488099245,1994795331.7737117,313.00641976020603,157485961652.97345,0.9897326370271986,0.9858802291785868
1932.0,0.2651677617040012,2096260619.0801656,334.1937554959544,202359971285.44418,0.9834734434212682,0.21403198724020944,2002914849.4039245,314.24467111652365,160239403434.4722,0.9894766548226122,0.9855428227268507
1932.5,0.2694575660095688,2105852280.3446853,335.6761468609669,205955642109.1262,0.9830434284822867,0.21645048459884922,2011099911.5166197,315.4979630429459,163042856054.80594,0.9892136405777087,0.9851998103758162
1933.0,0.2738410434442562,2115543742.3514936,337.1761613725662,209619545006.09293,0.9826057727428047,0.21894293003223955,2019352847.0192137,316.76727006068126,165904888231.93082,0.9889434405769424,0.9848510807485614
1933.5,0.2783189773951181,2125337222.561293,338.6938627916231,213352968765.88748,0.9821603312096667,0.22151174084669226,2027678576.4358554,318.05515486071846,168823454283.42905,0.9886658826138571,0.9844965044939255
1934.0,0.282892205729375,2135234971.6722078,340.22930750022493,217157224600.77295,0.9817069561510392,0.22415946468142556,2036080421.4256103,319.3620794178922,171794381945.26822,0.9883807985985845,0.9841359568376834
1934.5,0.2875616210338473,2145239272.4740329,341.7825447250209,221033646474.6907,0.9812454970487626,0.2268887587272718,2044559696.56952,320.6868673387363,174818929455.0753,0.9880880291166344,0.9837693221356193
1935.0,0.2923281707425334,2155352439.070575,343.3536166112232,224983591436.52274,0.9807758005500039,0.22970236676369354,2053117915.5958252,322.02900518034147,177898314274.89932,0.9877874128832358,0.9833964829625962
1935.5,0.29719285716442995,2165576816.391727,344.9425582110204,229008439955.17355,0.9802977104182012,0.23260309600295598,2061757101.3581383,323.3882478450827,181033746840.6833,0.9874787867293355,0.9830173187707408
1936.0,0.3021567374237596,2175914779.934337,346.54939741953893,233109596255.05994,0.9798110674832965,0.2355937943737821,2070485890.7030246,324.7634964018861,184226436532.6788,0.9871619855284726,0.9826317066582242
1936.5,0.30722092332448997,2186368735.683921,348.1741548760634,237288488651.1433,0.9793157095912545,0.23867732902508626,2079306027.891581,326.1549663089115,187477593877.8243,0.9868368430445114,0.9822395213667047
